id,x,y,max.lai,zone
SP1,423958.9,4033620.6,1.5800000429,Swedes Pasture
SP2,423508.9,4033560.6,0.2899999917,Swedes Pasture
SP3,423898.9,4033260.6,2.2799999714,Swedes Pasture
SP4,423748.9,4032750.6,0.0199999996,Swedes Pasture
SP5,424018.9,4033860.6,1.1200000048,Swedes Pasture
SP6,424108.9,4032960.6,0.4499999881,Swedes Pasture
SP7,423808.9,4032750.6,0.150000006,Swedes Pasture
SP8,423688.9,4033170.6,0.3799999952,Swedes Pasture
SP9,423838.9,4033230.6,0.9300000072,Swedes Pasture
SP10,423508.9,4033860.6,0.3000000119,Swedes Pasture
SP11,423988.9,4033860.6,2.0899999142,Swedes Pasture
SP12,423868.9,4033860.6,1.2599999905,Swedes Pasture
SP13,423658.9,4033170.6,0.2399999946,Swedes Pasture
SP14,423838.9,4033590.6,1.9199999571,Swedes Pasture
SP15,423598.9,4033110.6,0.2300000042,Swedes Pasture
SP16,423448.9,4033530.6,0.0900000036,Swedes Pasture
SP17,423928.9,4032720.6,1.4500000477,Swedes Pasture
SP18,423988.9,4032720.6,1.1799999476,Swedes Pasture
SP19,423778.9,4033590.6,2.2400000095,Swedes Pasture
SP20,423658.9,4033140.6,0.400000006,Swedes Pasture
SP21,423838.9,4032960.6,0.0399999991,Swedes Pasture
SP22,423928.9,4033860.6,1.3099999428,Swedes Pasture
SP23,423928.9,4033290.6,2.0399999619,Swedes Pasture
SP24,423658.9,4033860.6,1.3500000238,Swedes Pasture
SP25,424048.9,4033650.6,0.4199999869,Swedes Pasture
SP26,423718.9,4033590.6,1.3899999857,Swedes Pasture
SP27,423328.9,4033860.6,0.0900000036,Swedes Pasture
SP28,423688.9,4033590.6,1.1799999476,Swedes Pasture
SP29,423568.9,4033110.6,0.1700000018,Swedes Pasture
SP30,424108.9,4032690.6,0.1700000018,Swedes Pasture
AC1,410008.9,4026480.6,0.5099999905,Ash Creek
AC2,409738.9,4026330.6,0.1299999952,Ash Creek
AC3,409918.9,4026150.6,1.1299999952,Ash Creek
AC4,409798.9,4025310.6,0.2700000107,Ash Creek
AC5,410098.9,4026570.6,1.1200000048,Ash Creek
AC6,410518.9,4025820.6,0.0900000036,Ash Creek
AC7,409858.9,4025310.6,0.1000000015,Ash Creek
AC8,409588.9,4025850.6,0.1099999994,Ash Creek
AC9,409618.9,4026120.6,1.6599999666,Ash Creek
AC10,409888.9,4026900.6,2.9200000763,Ash Creek
AC11,410218.9,4026600.6,0.1000000015,Ash Creek
AC12,410248.9,4026630.6,0.0500000007,Ash Creek
AC13,409648.9,4025280.6,0.6700000167,Ash Creek
AC14,409798.9,4026360.6,0.1199999973,Ash Creek
AC15,409828.9,4025850.6,0.3199999928,Ash Creek
AC16,410128.9,4026210.6,0.0799999982,Ash Creek
AC17,409618.9,4025850.6,0.8000000119,Ash Creek
AC18,409738.9,4025310.6,0.1099999994,Ash Creek
AC19,409858.9,4026390.6,0.1400000006,Ash Creek
AC20,409738.9,4025850.6,1.1900000572,Ash Creek
AC21,410278.9,4025850.6,1.0099999905,Ash Creek
AC22,410188.9,4026600.6,0.0799999982,Ash Creek
AC23,409858.9,4026150.6,0.4499999881,Ash Creek
AC24,410098.9,4026900.6,0.3000000119,Ash Creek
AC25,410038.9,4026540.6,1.8400000334,Ash Creek
AC26,409798.9,4026390.6,0.1000000015,Ash Creek
AC27,409708.9,4026900.6,0.0900000036,Ash Creek
AC28,409888.9,4026420.6,0.1899999976,Ash Creek
AC29,409828.9,4025310.6,0.1299999952,Ash Creek
AC30,409558.9,4025250.6,1.8300000429,Ash Creek
NS1,408148.9,4041150.6,0.1099999994,Northwest Spring
NS2,407908.9,4041000.6,0.9100000262,Northwest Spring
NS3,408238.9,4040730.6,0.25,Northwest Spring
NS4,408328.9,4040520.6,1.3799999952,Northwest Spring
NS5,407848.9,4041210.6,0.6299999952,Northwest Spring
NS6,408268.9,4040550.6,3.5599999428,Northwest Spring
NS7,408388.9,4040520.6,2.1199998856,Northwest Spring
NS8,407788.9,4040700.6,0.0599999987,Northwest Spring
NS9,408358.9,4040730.6,0.0500000007,Northwest Spring
NS10,407968.9,4041300.6,4.5199999809,Northwest Spring
NS11,408568.9,4040460.6,0.1199999973,Northwest Spring
NS12,408298.9,4041240.6,1.2999999523,Northwest Spring
NS13,408508.9,4040490.6,0.4300000072,Northwest Spring
NS14,407968.9,4041030.6,1.3300000429,Northwest Spring
NS15,408568.9,4040700.6,0.5699999928,Northwest Spring
NS16,407848.9,4040820.6,0.4600000083,Northwest Spring
NS17,407818.9,4040700.6,0.1400000006,Northwest Spring
NS18,408538.9,4040460.6,0.25,Northwest Spring
NS19,408028.9,4041060.6,2.4700000286,Northwest Spring
NS20,408478.9,4040700.6,0.0799999982,Northwest Spring
NS21,408028.9,4040610.6,0.5500000119,Northwest Spring
NS22,408358.9,4041240.6,0.150000006,Northwest Spring
NS23,408178.9,4040760.6,1.4199999571,Northwest Spring
NS24,407938.9,4041270.6,2.6199998856,Northwest Spring
NS25,407758.9,4041180.6,0.0900000036,Northwest Spring
NS26,408088.9,4041090.6,1.6900000572,Northwest Spring
NS27,408148.9,4041390.6,0.0500000007,Northwest Spring
NS28,408058.9,4041090.6,5.1799998283,Northwest Spring
NS29,408598.9,4040460.6,0.0799999982,Northwest Spring
NS30,408658.9,4040430.6,0.1099999994,Northwest Spring
CM1,409468.9,4032540.6,0.200000003,Cottonwood Marsh
CM2,409198.9,4032480.6,0.4399999976,Cottonwood Marsh
CM3,409198.9,4032240.6,0.9800000191,Cottonwood Marsh
CM4,409438.9,4031910.6,0.6299999952,Cottonwood Marsh
CM5,409048.9,4032810.6,0.1400000006,Cottonwood Marsh
CM6,409348.9,4031910.6,0.9100000262,Cottonwood Marsh
CM7,409498.9,4031910.6,1.8400000334,Cottonwood Marsh
CM8,409408.9,4032180.6,1.0299999714,Cottonwood Marsh
CM9,409288.9,4032210.6,1.3600000143,Cottonwood Marsh
CM10,409408.9,4033020.6,0.1800000072,Cottonwood Marsh
CM11,409018.9,4032810.6,0.1199999973,Cottonwood Marsh
CM12,409138.9,4032870.6,2.2999999523,Cottonwood Marsh
CM13,409648.9,4031880.6,2.1400001049,Cottonwood Marsh
CM14,409108.9,4032480.6,1.0599999428,Cottonwood Marsh
CM15,409618.9,4032120.6,0.9200000167,Cottonwood Marsh
CM16,408898.9,4032420.6,0.200000003,Cottonwood Marsh
CM17,409438.9,4032180.6,0.7699999809,Cottonwood Marsh
CM18,409378.9,4031910.6,1.4900000095,Cottonwood Marsh
CM19,409378.9,4032510.6,0.1800000072,Cottonwood Marsh
CM20,409558.9,4032150.6,1.1200000048,Cottonwood Marsh
CM21,409108.9,4031940.6,1.3899999857,Cottonwood Marsh
CM22,408988.9,4032810.6,0.1000000015,Cottonwood Marsh
CM23,409138.9,4032240.6,2.2899999619,Cottonwood Marsh
CM24,409288.9,4032960.6,0.1800000072,Cottonwood Marsh
CM25,409588.9,4032570.6,0.0799999982,Cottonwood Marsh
CM26,409348.9,4032510.6,0.200000003,Cottonwood Marsh
CM27,409438.9,4033080.6,0.349999994,Cottonwood Marsh
CM28,409288.9,4032510.6,0.1299999952,Cottonwood Marsh
CM29,409468.9,4031910.6,1.1900000572,Cottonwood Marsh
CM30,409498.9,4032540.6,0.0599999987,Cottonwood Marsh
WS1,418078.9,4024290.6,0.1000000015,Whiskey Springs
WS2,418018.9,4024110.6,0.0700000003,Whiskey Springs
WS3,417238.9,4023810.6,0.0500000007,Whiskey Springs
WS4,417538.9,4023510.6,0.0900000036,Whiskey Springs
